day,city,name,count
2010-08-25,Кунгур,leonard zon,4
2010-08-25,Нытва,arnold kriegstein,4
2010-08-25,Суксун,chris braden,3
2010-08-25,Нытва,chuck murry,3
2010-08-25,Кунгур,curt civin,3
2010-08-25,Суксун,mansour samadpour,2
2010-08-26,Нытва,helene emsellem,5
2010-08-26,Кунгур,alison tendler,4
2010-08-26,Нытва,keith flaherty,4
2010-08-27,Суксун,claes dohlman,3
2010-08-27,Кунгур,allison tendler,2
2010-08-27,Кунгур,alison tendler,2
2010-08-28,Нытва,karen desalvo,5
2010-08-28,Нытва,roxane townshend,4
2010-08-29,Нытва,alison tendler,4
2010-08-30,Кунгур,jeffery lieberman,3
2010-08-30,Суксун,peter deblieux,3
2010-08-30,Кунгур,michael duncan,2
2010-08-31,Кунгур,jennifer ashton,5
2010-08-31,Суксун,alison tendler,5
2010-08-31,Нытва,lisa eiland,4
2010-08-31,Суксун,michael greger,3
2010-08-31,Кунгур,mark halstead,2
2010-09-01,Суксун,judy garber,6
2010-09-01,Нытва,prudential investments,4
2010-09-02,Нытва,alison tendler,4
2010-09-02,Кунгур,jon lapook,3
2010-09-02,Кунгур,alison tendler,3
2010-09-02,Кунгур,louis aronne,2
2010-09-04,Нытва,mark quigley,11
2010-09-06,Кунгур,alison tendler,4
2010-09-07,Кунгур,pepper snapple,20
2010-09-07,Кунгур,arnold platzker,4
2010-09-07,Кунгур,pepper group,3
2010-09-07,Кунгур,wesley burks,2
2010-09-08,Нытва,abby fleisch,5
2010-09-08,Суксун,ronald petersen,4
2010-09-09,Суксун,oz abc,14
2010-09-09,Суксун,richard besser,8
2010-09-09,Суксун,mehmet oz,7
2010-09-09,Суксун,abc news,7
2010-09-09,Суксун,oz ma,5
2010-09-09,Суксун,nick neave,3
2010-09-10,Кунгур,daniel von,2
2010-09-10,Кунгур,craig thompson,2
2010-09-11,Нытва,jennifer temel,5
2010-09-11,Кунгур,jon lapook,5
2010-09-11,Кунгур,stephen baylin,3
2010-09-11,Суксун,harvey pass,2
2010-09-14,Суксун,michael degeorgia,5
2010-09-14,Суксун,alison tendler,4
2010-09-15,Суксун,richard besser,9
2010-09-15,Суксун,alison tendler,4
2010-09-15,Нытва,michael klein,4
2010-09-15,Кунгур,martin luther,3
2010-09-16,Суксун,richard besser,8
2010-09-16,Нытва,jerry avorn,5
2010-09-16,Суксун,alison tendler,5
2010-09-16,Нытва,karen cooper,4
2010-09-16,Суксун,william petit,2
2010-09-17,Суксун,alison tendler,5
2010-09-17,Суксун,john kennedy,4
2010-09-17,Кунгур,jon lapook,3
2010-09-17,Кунгур,louis aronne,2
2010-09-18,Суксун,richard besser,9
2010-09-18,Нытва,alison tendler,5
2010-09-18,Суксун,peter adamson,2
2010-09-19,Нытва,scott brewster,4
2010-09-20,Суксун,alison tendler,4
2010-09-20,Кунгур,hunt batjer,4
2010-09-21,Суксун,richard besser,14
2010-09-21,Суксун,alison tendler,4
2010-09-22,Суксун,alison tendler,4
2010-09-22,Нытва,jerry brown,2
2010-09-23,Нытва,alan venook,5
2010-09-23,Кунгур,joe craig,2
2010-09-23,Нытва,prudential investments,2
2010-09-23,Нытва,joshua sharfstein,2
2010-09-24,Нытва,ethel siris,3
2010-09-24,Нытва,stanley herring,3
2010-09-24,Суксун,steven nissen,3
2010-09-24,Кунгур,paul offit,2
2010-09-24,Кунгур,jon lapook,2
2010-09-24,Кунгур,gil chavez,2
2010-09-26,Кунгур,nutan sharma,4
2010-09-27,Суксун,alison tendler,5
2010-09-29,Суксун,earl ave,5
2010-09-29,Кунгур,alison tendler,4
2010-09-29,Суксун,werner spitz,4
2010-09-29,Суксун,alison tendler,4
2010-09-30,Суксун,richard besser,15
2010-09-30,Кунгур,jon lapook,5
2010-09-30,Суксун,alison tendler,4
2010-09-30,Суксун,donna plecha,4
2010-09-30,Нытва,nancy lane,3
2010-09-30,Кунгур,sanjay gupta,3
2010-09-30,Кунгур,john maris,2
2010-09-30,Кунгур,bradley peterson,2
2010-10-01,Нытва,jeffrey lieberman,4
2010-10-01,Суксун,alison tendler,4
2010-10-02,Суксун,richard besser,7
2010-10-02,Нытва,alison tendler,5
2010-10-02,Нытва,bill releford,5
2010-10-05,Суксун,alison tendler,5
2010-10-05,Кунгур,alison tendler,5
2010-10-05,Кунгур,sanjay gupta,4
2010-10-05,Кунгур,jennifer ashton,3
2010-10-05,Кунгур,john sampson,3
2010-10-06,Суксун,david bassett,4
2010-10-07,Суксун,alison tendler,4
2010-10-08,Кунгур,alison tendler,4
2010-10-12,Суксун,thomas okarma,5
2010-10-12,Кунгур,alison tendler,4
2010-10-12,Суксун,george daley,3
2010-10-12,Кунгур,jon lapook,2
2010-10-13,Кунгур,alison tendler,5
2010-10-13,Суксун,richard rosenthal,4
2010-10-13,Кунгур,jon lapook,4
2010-10-14,Суксун,richard besser,5
2010-10-15,Суксун,jane delgado,5
2010-10-15,Нытва,jean romagnoli,4
2010-10-15,Нытва,alison tendler,4
2010-10-16,Суксун,paola neumann,11
2010-10-16,Суксун,jaime manalich,8
2010-10-16,Нытва,nancy feldman,5
2010-10-16,Кунгур,john rex,3
2010-10-16,Суксун,gerald grant,3
2010-10-16,Суксун,sheryl bishop,3
2010-10-17,Нытва,alison tendler,5
2010-10-17,Кунгур,alan cohen,4
2010-10-18,Кунгур,alison tendler,4
2010-10-19,Суксун,suzanne craft,8
2010-10-19,Суксун,richard besser,7
2010-10-19,Нытва,mark weidenbaum,6
2010-10-19,Кунгур,jon lapook,3
2010-10-20,Нытва,beth dupree,27
2010-10-20,Нытва,rowan chlebowski,6
2010-10-20,Нытва,joann manson,6
2010-10-20,Кунгур,freya schnabel,2
2010-10-20,Кунгур,jon lapook,2
2010-10-21,Суксун,steven goldstein,15
2010-10-21,Суксун,marie savard,8
2010-10-21,Кунгур,jeffrey fishberger,4
2010-10-23,Суксун,richard besser,12
2010-10-23,Суксун,ann albright,6
2010-10-23,Кунгур,robert cantu,3
2010-10-23,Кунгур,jon lapook,2
2010-10-24,Кунгур,jon lapook,44
2010-10-24,Нытва,arthur kellermann,3
2010-10-25,Кунгур,jon lapook,40
2010-10-25,Суксун,richard besser,15
2010-10-25,Кунгур,jon arbus,4
2010-10-25,Кунгур,ian rawson,4
2010-10-25,Кунгур,james dumont,3
2010-10-26,Суксун,richard besser,7
2010-10-26,Нытва,silvia ernst,4
2010-10-26,Нытва,alison tendler,4
2010-10-26,Кунгур,koji nakashima,3
2010-10-26,Кунгур,jon lapook,3
2010-10-27,Суксун,alison tendler,4
2010-10-27,Нытва,jeffrey lieberman,4
2010-10-27,Кунгур,george tiller,3
2010-10-27,Нытва,rob steele,2
2010-10-28,Суксун,alison tendler,5
2010-10-28,Кунгур,carol skipper,4
2010-10-28,Кунгур,alison tendler,4
2010-10-29,Кунгур,alison tendler,4
2010-10-29,Кунгур,jon lapook,3
2010-10-30,Нытва,alison tendler,5
2010-10-31,Нытва,alison tendler,4
2010-11-02,Суксун,david nutt,3
2010-11-02,Суксун,larry bucshon,3
2010-11-03,Суксун,scott sicherer,6
2010-11-03,Нытва,alison tendler,5
2010-11-03,Кунгур,alison tendler,4
2010-11-04,Кунгур,alison tendler,4
2010-11-04,Кунгур,jon lapook,3
2010-11-05,Суксун,claudia henschke,9
2010-11-05,Суксун,richard besser,7
2010-11-05,Кунгур,jon lapook,5
2010-11-05,Кунгур,harvey pass,3
2010-11-05,Нытва,reginald munden,3
2010-11-05,Нытва,jean pape,3
2010-11-05,Нытва,douglas lowy,2
2010-11-05,Кунгур,douglas lowy,2
2010-11-06,Нытва,otis w,5
2010-11-06,Нытва,andrew evans,5
2010-11-06,Нытва,roy herbst,2
2010-11-07,Нытва,alison tendler,5
2010-11-07,Кунгур,william borden,4
2010-11-07,Кунгур,jon lapook,4
2010-11-07,Кунгур,christopher cannon,2
2010-11-08,Кунгур,gayle roboz,4
2010-11-08,Суксун,kara gibson,4
2010-11-08,Кунгур,mick bhatia,3
2010-11-09,Суксун,robert basner,9
2010-11-09,Суксун,alison tendler,5
2010-11-09,Кунгур,alison tendler,5
2010-11-09,Нытва,peter whybrow,4
2010-11-10,Суксун,alison tendler,5
2010-11-10,Кунгур,hawa abdi,4
2010-11-10,Суксун,lisa rose,2
2010-11-10,Суксун,joe rossi,2
2010-11-11,Нытва,margaret hamburg,4
2010-11-11,Нытва,janet taylor,3
2010-11-11,Кунгур,margaret hamburg,3
2010-11-12,Кунгур,karen aboody,3
2010-11-13,Нытва,alison tendler,4
2010-11-14,Нытва,greg sawin,3
2010-11-15,Кунгур,alison tendler,4
2010-11-17,Кунгур,david goodman,4
2010-11-17,Кунгур,jon lapook,3
2010-11-17,Кунгур,paul glare,2
2010-11-18,Суксун,christopher paul,4
2010-11-18,Кунгур,jon lapook,3
2010-11-18,Кунгур,mitchell gold,3
2010-11-18,Кунгур,petros levounis,3
2010-11-18,Суксун,harlan m,3
2010-11-18,Кунгур,steven miller,2
2010-11-18,Кунгур,margaret hamburg,2
2010-11-20,Кунгур,jon lapook,7
2010-11-23,Суксун,alison tendler,4
2010-11-24,Суксун,richard besser,11
2010-11-24,Суксун,alison tendler,5
2010-11-24,Нытва,alison tendler,4
2010-11-25,Кунгур,alison tendler,4
2010-11-26,Суксун,alison tendler,5
2010-11-28,Нытва,arthur kellermann,6
2010-11-28,Нытва,alison tendler,4
2010-11-29,Кунгур,alison tendler,5
2010-11-30,Суксун,ron depinho,5
2010-11-30,Кунгур,alison tendler,3
2010-12-01,Суксун,benefits expiring,8
2010-12-01,Суксун,richard besser,8
2010-12-01,Кунгур,jennifer ashton,7
2010-12-01,Суксун,michael holick,6
2010-12-01,Нытва,alison tendler,5
2010-12-01,Нытва,ethel siris,5
2010-12-01,Суксун,stephen abrams,3
2010-12-01,Нытва,catharine ross,3
2010-12-01,Кунгур,allson tendler,2
2010-12-01,Кунгур,alison tendler,2
2010-12-02,Суксун,david ludwig,2
2010-12-03,Суксун,richard besser,6
2010-12-03,Кунгур,alison tendler,4
2010-12-03,Суксун,mitchell roslin,3
2010-12-04,Кунгур,jennifer ashton,4
2010-12-04,Кунгур,philip schauer,3
2010-12-04,Кунгур,paresh shah,2
2010-12-05,Нытва,alison tendler,9
2010-12-06,Суксун,alison tendler,4
2010-12-06,Суксун,lois lee,2
2010-12-07,Суксун,richard besser,5
2010-12-07,Нытва,charles fuchs,5
2010-12-07,Нытва,mark pochapin,5
2010-12-07,Суксун,alan arslan,4
2010-12-07,Кунгур,clifford hudis,3
2010-12-07,Кунгур,jennifer ashton,3
2010-12-09,Суксун,abbas ardehali,6
2010-12-10,Нытва,alison tendler,5
2010-12-10,Кунгур,jon lapook,3
2010-12-10,Нытва,michelle berlin,3
2010-12-10,Кунгур,jorge pardes,3
2010-12-11,Нытва,alison tendler,5
2010-12-11,Суксун,alison tendler,5
2010-12-11,Нытва,ada cooper,5
2010-12-14,Суксун,joseph clinton,3
2010-12-15,Кунгур,mark breiner,2
2010-12-16,Суксун,alison tendler,5
2010-12-17,Суксун,alison tendler,3
2010-12-21,Нытва,bruce barrett,3
2010-12-23,Суксун,richard besser,8
2010-12-23,Суксун,craig howe,5
2010-12-23,Нытва,anthony lembo,4
2010-12-23,Суксун,debra stulberg,3
2010-12-23,Суксун,michael link,2
2010-12-27,Кунгур,bahaa abu,2
2010-12-29,Суксун,tim johnson,9
2010-12-30,Нытва,maya rodriguez,5
2010-12-31,Нытва,barry straube,3
2010-12-31,Суксун,gary mathern,2
2011-01-01,Кунгур,herbert pardes,2
2011-01-02,Суксун,steve talcott,3
2011-01-02,Кунгур,camilo echanique,2
2011-01-04,Суксун,richard besser,9
2011-01-04,Нытва,daniel haber,5
2011-01-04,Суксун,daniel haber,5
2011-01-04,Суксун,kevin mcgowan,5
2011-01-04,Суксун,alison tendler,4
2011-01-04,Суксун,susan love,4
2011-01-04,Кунгур,christopher logothetis,3
2011-01-04,Кунгур,jon lapook,3
2011-01-04,Нытва,george badley,3
2011-01-04,Кунгур,daniel haber,2
2011-01-05,Суксун,sana ai,4
2011-01-05,Кунгур,sanjay gupta,2
2011-01-05,Суксун,abc news,2
2011-01-06,Кунгур,alison tendler,5
2011-01-06,Кунгур,lodovico balducci,3
2011-01-06,Суксун,paul offit,3
2011-01-06,Кунгур,sanjay gupta,3
2011-01-06,Нытва,coloring the,2
2011-01-06,Суксун,andrew wakefield,2
2011-01-07,Кунгур,sanjay gupta,11
2011-01-07,Суксун,daryl bem,7
2011-01-07,Нытва,alison tendler,5
2011-01-07,Суксун,robert park,3
2011-01-07,Кунгур,paul offit,2
2011-01-08,Кунгур,alison tendler,4
2011-01-08,Суксун,howard koh,3
2011-01-08,Суксун,griffin cole,3
2011-01-09,Кунгур,steven rayle,136
2011-01-09,Кунгур,peter denoble,22
2011-01-09,Суксун,steven rayle,11
2011-01-09,Суксун,alison tendler,5
2011-01-09,Суксун,peter rhee,4
2011-01-09,Кунгур,peter rhee,2
2011-01-10,Суксун,richard besser,29
2011-01-10,Суксун,peter rhee,6
2011-01-10,Кунгур,michael lemole,6
2011-01-10,Нытва,mark kalish,5
2011-01-10,Нытва,steven rayle,5
2011-01-10,Суксун,alison tendler,5
2011-01-10,Кунгур,jennifer ashton,3
2011-01-10,Суксун,michael lemole,3
2011-01-10,Нытва,michael lemole,2
2011-01-10,Кунгур,steven rayle,2
2011-01-11,Суксун,peter rhee,6
2011-01-11,Нытва,michael lemole,6
2011-01-11,Кунгур,jennifer ashton,6
2011-01-11,Суксун,alan lipman,6
2011-01-11,Нытва,alison tendler,5
2011-01-11,Суксун,alison tendler,4
2011-01-11,Кунгур,michael lemole,3
2011-01-11,Кунгур,peter rhee,3
2011-01-12,Суксун,gary schwartz,7
2011-01-12,Кунгур,carol bernstein,4
2011-01-12,Суксун,alison tendler,3
2011-01-12,Суксун,stephen laberge,3
2011-01-12,Кунгур,michael lemole,3
2011-01-12,Кунгур,peter rhee,3
2011-01-14,Суксун,richard besser,12
2011-01-14,Суксун,richard somerville,6
2011-01-14,Суксун,redford williams,6
2011-01-14,Суксун,william m,6
2011-01-14,Кунгур,jon lapook,4
2011-01-14,Суксун,peter rhee,3
2011-01-14,Нытва,peter rhee,3
2011-01-14,Кунгур,michael lemole,3
2011-01-14,Кунгур,peter rhee,2
2011-01-14,Нытва,martin luther,2
2011-01-14,Суксун,sidney wolfe,2
2011-01-15,Суксун,joe hummer,4
2011-01-15,Кунгур,michael lemole,3
2011-01-15,Нытва,michael lemole,3
2011-01-16,Нытва,massoud ali,3
2011-01-17,Суксун,jonathan siner,6
2011-01-18,Нытва,randall friese,3
2011-01-18,Нытва,michael lemole,3
2011-01-19,Суксун,alison tendler,4
2011-01-20,Суксун,richard besser,11
2011-01-20,Суксун,neil buckholtz,6
2011-01-20,Суксун,jaime levine,5
2011-01-20,Нытва,peter m,4
2011-01-20,Кунгур,alison tendler,3
2011-01-21,Суксун,michael lemole,5
2011-01-21,Суксун,john holcomb,4
2011-01-21,Кунгур,jon lapook,4
2011-01-21,Нытва,michael lemole,4
2011-01-21,Кунгур,peter rhee,3
2011-01-21,Кунгур,peter belafsky,3
2011-01-21,Кунгур,gerard francisco,3
2011-01-22,Кунгур,jon lapook,9
2011-01-22,Суксун,michael lemole,6
2011-01-22,Суксун,kathleen grant,4
2011-01-22,Кунгур,alison tendler,4
2011-01-22,Нытва,gerard francisco,3
2011-01-22,Кунгур,gerard francisco,3
2011-01-22,Суксун,richard somerville,3
2011-01-22,Суксун,dong kim,3
2011-01-22,Кунгур,dong kim,3
2011-01-22,Суксун,john holcomb,3
2011-01-22,Суксун,randall friese,2
2011-01-23,Суксун,anne lambert,8
2011-01-23,Нытва,randall friese,4
2011-01-23,Нытва,gerard francisco,4
2011-01-23,Кунгур,norman doidge,4
2011-01-23,Суксун,gerard francisco,3
2011-01-23,Кунгур,john holcomb,2
2011-01-23,Кунгур,gerard francisco,2
2011-01-24,Суксун,anne lambert,6
2011-01-24,Нытва,john holcomb,5
2011-01-24,Нытва,gregory farwell,5
2011-01-24,Суксун,alison tendler,4
2011-01-24,Нытва,geoffrey manley,4
2011-01-24,Суксун,ashish lal,2
2011-01-25,Суксун,jonathan fellus,6
2011-01-25,Кунгур,john holcomb,4
2011-01-25,Нытва,reid thompson,4
2011-01-25,Нытва,geoffrey manley,3
2011-01-25,Суксун,geoffrey manley,3
2011-01-25,Кунгур,gerard francisco,2
2011-01-26,Кунгур,conrad murray,12
2011-01-26,Суксун,paul ekman,4
2011-01-26,Кунгур,alison tendler,4
2011-01-26,Кунгур,peter daniel,3
2011-01-27,Суксун,phillip haeck,4
2011-01-27,Суксун,sharon rosenbaum,4
2011-01-27,Суксун,dong kim,3
2011-01-27,Кунгур,dong kim,3
2011-01-27,Нытва,john holcomb,3
2011-01-27,Нытва,gerard francisco,3
2011-01-27,Нытва,dong kim,3
2011-01-27,Кунгур,imoigele aisiku,2
2011-01-27,Нытва,perpetrator vehicle,2
2011-01-27,Суксун,john holcomb,2
2011-01-28,Кунгур,alison tendler,4
2011-01-28,Нытва,ted scott,4
2011-01-28,Нытва,odette harris,3
2011-01-30,Суксун,ronald e,9
2011-01-30,Нытва,alison tendler,5
2011-01-30,Кунгур,alison tendler,5
2011-01-31,Суксун,alison tendler,4
2011-02-01,Суксун,neil resnick,3
2011-02-01,Суксун,marie bernard,3
2011-02-02,Суксун,richard besser,9
2011-02-04,Кунгур,lotfi al,3
2011-02-04,Кунгур,adha mohhamad,3
2011-02-06,Кунгур,brad black,2
2011-02-09,Суксун,richard besser,12
2011-02-09,Суксун,zahi hawass,3
2011-02-10,Суксун,richard besser,18
2011-02-10,Суксун,geoffrey manley,5
2011-02-10,Нытва,diana farmer,4
2011-02-10,Нытва,alison tendler,4
2011-02-10,Нытва,gerard francisco,4
2011-02-10,Кунгур,william borden,3
2011-02-10,Нытва,allan kirk,3
2011-02-10,Суксун,martin moore,3
2011-02-10,Суксун,scott adzick,2
2011-02-12,Суксун,alison tendler,5
2011-02-13,Суксун,essam arian,19
2011-02-14,Нытва,alison tendler,4
2011-02-15,Суксун,richard besser,25
2011-02-15,Суксун,gerard francisco,6
2011-02-15,Суксун,steven nissen,4
2011-02-15,Суксун,todd bania,4
2011-02-15,Кунгур,laurence epstein,4
2011-02-15,Суксун,william maisel,3
2011-02-15,Кунгур,steven nissen,2
2011-02-16,Суксун,richard besser,35
2011-02-16,Кунгур,tom little,10
2011-02-16,Кунгур,alison tendler,5
2011-02-16,Нытва,tom little,4
2011-02-16,Суксун,david ferrucci,4
2011-02-17,Суксун,richard besser,4
2011-02-17,Нытва,david tovey,4
2011-02-17,Нытва,gerard francisco,4
2011-02-17,Суксун,jordan metzl,3
2011-02-18,Суксун,alison tendler,5
2011-02-18,Суксун,jaime guevara,4
2011-02-18,Кунгур,sanjay gupta,4
2011-02-18,Кунгур,eric reiman,3
2011-02-18,Суксун,valter longo,3
2011-02-18,Кунгур,pierre tariot,2
2011-02-19,Суксун,andrew charles,5
2011-02-19,Кунгур,richard lipton,2
2011-02-20,Суксун,alison tendler,5
2011-02-21,Суксун,alison tendler,5
2011-02-21,Кунгур,alison tendler,4
2011-02-22,Кунгур,jennifer ashton,3
2011-02-22,Кунгур,paresh shah,3
2011-02-23,Суксун,nora volkow,5
2011-02-23,Суксун,andrew sloan,4
2011-02-23,Кунгур,jon lapook,3
2011-02-23,Нытва,emergency declared,3
2011-02-23,Нытва,michael weiner,3
2011-02-24,Кунгур,alison tendler,5
2011-02-24,Нытва,micky collins,4
2011-02-24,Кунгур,nancy klimas,3
2011-02-24,Кунгур,steven schutzer,3
2011-02-24,Суксун,brian bear,2
2011-02-25,Нытва,hisham mustafa,5
2011-02-25,Суксун,alison tendler,5
2011-02-25,Нытва,alison tendler,4
2011-02-25,Кунгур,michael barry,3
2011-02-25,Суксун,ronald koopman,3
2011-02-25,Суксун,michael shapiro,3
2011-02-25,Кунгур,jon lapook,3
2011-02-26,Суксун,jerrold post,8
2011-02-26,Суксун,richard besser,7
2011-02-26,Суксун,ellen seely,3
2011-02-26,Суксун,sharonne hayes,3
2011-02-28,Нытва,alison tendler,4
2011-02-28,Кунгур,alison tendler,4
2011-03-01,Суксун,drew pinsky,4
2011-03-01,Кунгур,sara pai,2
2011-03-01,Кунгур,jon lapook,2
2011-03-02,Нытва,anna guiliano,4
2011-03-03,Суксун,omar manejwala,4
2011-03-04,Кунгур,michael murray,3
2011-03-04,Кунгур,melissa miller,3
2011-03-05,Суксун,jonathan drezner,4
2011-03-07,Суксун,marie savard,9
2011-03-07,Суксун,iman bugaighif,8
2011-03-07,Суксун,jonathan drezner,8
2011-03-07,Кунгур,jon lapook,5
2011-03-07,Кунгур,lucian del,3
2011-03-07,Нытва,phillippe friedlich,2
2011-03-08,Суксун,arya nielsen,7
2011-03-08,Кунгур,jennifer ashton,3
2011-03-08,Кунгур,elizabeth rafferty,3
2011-03-08,Нытва,david haines,2
2011-03-09,Нытва,douglas yee,5
2011-03-09,Нытва,alison tendler,4
2011-03-09,Суксун,david katz,3
2011-03-09,Кунгур,bruce lerman,3
2011-03-09,Суксун,oz show,2
2011-03-11,Суксун,alison tendler,4
2011-03-11,Кунгур,sammy saadi,4
2011-03-11,Кунгур,alison tendler,4
2011-03-11,Кунгур,suzanne feigofsky,3
2011-03-11,Кунгур,faroque khan,3
2011-03-12,Нытва,alison tendler,4
2011-03-16,Суксун,richard besser,18
2011-03-16,Кунгур,jon lapook,3
2011-03-17,Кунгур,sanjay gupta,14
2011-03-18,Суксун,richard besser,28
2011-03-19,Суксун,alison tendler,5
2011-03-20,Нытва,fred mettler,5
2011-03-20,Суксун,alison tendler,5
2011-03-20,Нытва,kenneth bergeron,2
2011-03-22,Нытва,alison tendler,4
2011-03-23,Кунгур,at whitman,8
2011-03-23,Суксун,richard besser,5
2011-03-23,Суксун,alison tendler,5
2011-03-23,Нытва,alison tendler,5
2011-03-24,Суксун,jerrold post,6
2011-03-24,Кунгур,alison tendler,5
2011-03-24,Кунгур,michael gottlieb,3
2011-03-24,Нытва,anne brooks,3
2011-03-25,Суксун,richard besser,6
2011-03-25,Суксун,allen ducatman,4
2011-03-25,Кунгур,alison tendler,4
2011-03-25,Кунгур,makoto akashi,3
2011-03-26,Суксун,richard besser,8
2011-03-26,Суксун,arjun srinivasan,4
2011-03-26,Суксун,christopher ohl,2
2011-03-27,Суксун,david brenner,5
2011-03-27,Суксун,michio kaku,3
2011-03-28,Суксун,alison tendler,3
2011-03-29,Кунгур,alison tendler,5
2011-03-29,Кунгур,curtis eng,4
2011-03-29,Суксун,alison tendler,4
2011-03-29,Суксун,phil schauer,3
2011-03-30,Кунгур,alison tendler,5
2011-03-30,Суксун,alison tendler,4
2011-03-31,Суксун,philip landrigan,6
2011-03-31,Кунгур,brad spellberg,4
2011-03-31,Суксун,alison tendler,4
2011-03-31,Кунгур,alison tendler,4
2011-03-31,Суксун,joseph giordano,3
2011-03-31,Кунгур,jon lapook,3
2011-03-31,Кунгур,arjun srinivasan,2
2011-03-31,Нытва,helain landy,2
2011-03-31,Кунгур,francois blaudeau,2
2011-04-01,Суксун,richard besser,22
2011-04-01,Кунгур,alison tendler,5
2011-04-01,Суксун,don milton,3
2011-04-01,Суксун,hailu kinde,2
2011-04-02,Суксун,hawa abc,3
2011-04-03,Суксун,michio kaku,7
2011-04-03,Нытва,robert sumwalt,6
2011-04-03,Суксун,robert gale,5
